"ID","Company Name","Industry","Tier","Product","Stage","Status","Total Value","Near-Term Value","Probability","Weighted Value","Expected Close","Primary Contact","Notes"
"1","Anduril Industries","Defense Tech - ISR/C-UAS","1","LVS-250","IRAD Proposed","Active","$15,000,000","$650,000","60%","$9,000,000","Q2 2026","Chaffra Joseph","LOI Signed, IRAD proposal under review"
"2","Mach Industries","Defense - Kamikaze Drones","1","LVS-250","Evaluation","Stalled","$10,000,000","$550,000","35%","$3,500,000","TBD","BD Director","IRAD proposal awaiting signature"
"3","Terrahaptix","Robotics - UGV/ISR UAVs","1","LVS-250","Opportunity","Active","$67,000,000","$2,000,000","40%","$26,800,000","Q3 2026","TBD","Volume discussion in progress"
"4","General Hypersonics","Aerospace - Hypersonic","1","LVS-750","Negotiation","Active","$12,000,000","$500,000","50%","$6,000,000","Q3 2026","Mark C. Russell","LOI draft in review"
"5","Leidos","Defense Prime - C5ISR","1","LVS-750","Evaluation","Active","$12,000,000","$600,000","50%","$6,000,000","Q3 2026","TBD","NDA executed, technical evaluation"
"6","Eizo Rugged Solutions","Defense - Rugged Computing","1","LVS-750/1000","Evaluation","Active","$7,000,000","$600,000","50%","$3,500,000","Q2 2026","Selwyn Henriques","LOI signed, VPX form factor"
"7","Glid Technologies","Autonomous Vehicles","1","LVS-750","Evaluation","Active","$5,000,000","$300,000","40%","$2,000,000","Q4 2026","Kevin A. Damoa","LOI draft complete"
"8","Revenant Industries","Defense - Autonomous Systems","1","LVS-250/750","Discovery","Active","$5,000,000","$400,000","35%","$1,750,000","Q3 2026","TBD","Initial contact"
"9","Koniku","Neurotechnology - Biosensors","1","LVS-250","MOU Proposed","Active","$16,500,000","$16,500,000","45%","$7,425,000","2027","Osh Agabi","10,000 units @ $1,650/unit"
"10","Seasats","Maritime - Autonomous Systems","1","LVS-250/750","Discovery","Active","$5,000,000","$400,000","30%","$1,500,000","Q4 2026","TBD","Initial contact"
"11","First Genesis","Defense - Advanced Systems","1","LVS-250","Evaluation","Active","$8,000,000","$500,000","45%","$3,600,000","Q3 2026","TBD","NDA signed, technical evaluation"
"12","AMD","Semiconductor - Strategic Partner","Strategic","Chiplet Integration","Exploring","Active","N/A","N/A","N/A","N/A","N/A","TBD","Technology partnership, UCIe integration"
"13","RTX Corporation","Defense Prime - OEM","2","LVS Chiplets","Discovery","Planned","$3,000,000","$0","30%","$900,000","2027+","TBD","Target account"
"14","Lockheed Martin","Defense Prime - OEM","2","LVS Chiplets","Discovery","Planned","$3,000,000","$0","30%","$900,000","2027+","TBD","Target account"
"15","Northrop Grumman","Defense Prime - OEM","2","LVS Chiplets","Discovery","Planned","$3,000,000","$0","30%","$900,000","2027+","TBD","Target account"
"16","Ultraview AI","Aerospace - UAV Inspection","3","LVS-750/1000","Evaluation","Active","$8,000,000","$400,000","40%","$3,200,000","Q3 2026","Colby Harvey","LOI signed"
"17","Orb Aerospace","Space - Satellite Systems","3","LVS-750","Opportunity","Active","$5,000,000","$300,000","40%","$2,000,000","Q4 2026","TBD","Letter of support"
"18","Orbits Edge","Space - Edge Computing","3","LVS Chiplets","Evaluation","Active","$4,000,000","$250,000","35%","$1,400,000","Q4 2026","TBD","NDA executed"
"19","Orbitswarm","Space - SoOp Sensors","3","LVS Chiplets","Evaluation","Active","$3,000,000","$200,000","35%","$1,050,000","Q3 2026","TBD","LOI signed"
"20","AMAL Technologies","Industrial IoT - Africa","3","LVS-750","Evaluation","Active","$3,000,000","$200,000","35%","$1,050,000","Q4 2026","TBD","LOI signed"
"21","Strut Motors","Electric Vehicles","3","LVS Chiplets","Opportunity","Active","$2,500,000","$150,000","30%","$750,000","Q4 2026","TBD","LOI signed"
"22","Esper Industries","Space - Earth Observation","3","LVS-750/1000","Evaluation","Active","$2,500,000","$200,000","40%","$1,000,000","Q3 2026","TBD","LOI signed"
"23","Stellantis","Automotive - Volume Production","4","LVS-1000","Discovery","Planned","$120,000,000","$0","25%","$30,000,000","2028+","TBD","Long-term target"
"24","Ford Motor Company","Automotive - Volume Production","4","LVS-1000","Discovery","Planned","$100,000,000","$0","25%","$25,000,000","2028+","TBD","Long-term target"
